timestamp_us,x_m,y_m,z_m,arming_state,nav_state,failsafe,phase
1757526913809470,0.000,0.000,0.000,0,0,0,Prime
1757526913910503,0.000,0.000,0.000,0,0,0,Prime
1757526914011469,0.000,0.000,0.000,0,0,0,Prime
1757526914115419,0.000,0.000,0.000,0,0,0,Prime
1757526914216230,0.000,0.000,0.000,0,0,0,Prime
1757526914317109,0.000,0.000,0.000,0,0,0,Prime
1757526914417944,0.000,0.000,0.000,0,0,0,Prime
1757526914520004,0.000,0.000,0.000,0,0,0,WaitPose
1757526914620801,0.000,0.000,0.000,0,0,0,WaitPose
1757526914721746,0.000,0.000,0.000,0,0,0,WaitPose
1757526914822666,0.000,0.000,0.000,0,0,0,WaitPose
1757526914923598,0.000,0.000,0.000,0,0,0,WaitPose
1757526915024550,0.000,0.000,0.000,0,0,0,WaitPose
1757526915125523,0.000,0.000,0.000,0,0,0,WaitPose
1757526915228474,0.000,0.000,0.000,0,0,0,WaitPose
1757526915329572,0.000,0.000,0.000,0,0,0,WaitPose
1757526915430384,0.000,0.000,0.000,0,0,0,WaitPose
1757526915531289,0.000,0.000,0.000,0,0,0,WaitPose
1757526915632174,0.000,0.000,0.000,0,0,0,WaitPose
1757526915733022,0.000,0.000,0.000,0,0,0,WaitPose
1757526915834054,0.000,0.000,0.000,0,0,0,WaitPose
1757526915935055,0.000,0.000,0.000,0,0,0,WaitPose
1757526916036106,0.000,0.000,0.000,0,0,0,WaitPose
1757526916137140,0.000,0.000,0.000,0,0,0,WaitPose
1757526916238059,0.000,0.000,0.000,0,0,0,WaitPose
1757526916341071,0.000,0.000,0.000,0,0,0,WaitPose
1757526916441851,0.000,0.000,0.000,0,0,0,WaitPose
1757526916542685,0.000,0.000,0.000,0,0,0,WaitPose
1757526916643698,0.000,0.000,0.000,0,0,0,WaitPose
1757526916744459,0.000,0.000,0.000,0,0,0,WaitPose
1757526916845233,0.000,0.000,0.000,0,0,0,WaitPose
1757526916946172,0.000,0.000,0.000,0,0,0,WaitPose
1757526917046890,0.000,0.000,0.000,0,0,0,WaitPose
1757526917147864,0.000,0.000,0.000,0,0,0,WaitPose
1757526917249104,0.000,0.000,0.000,0,0,0,WaitPose
1757526917349930,0.000,0.000,0.000,0,0,0,WaitPose
1757526917450693,0.000,0.000,0.000,0,0,0,WaitPose
1757526917551543,0.000,0.000,0.000,0,0,0,WaitPose
1757526917652300,0.000,0.000,0.000,0,0,0,WaitPose
1757526917753242,0.000,0.000,0.000,0,0,0,WaitPose
1757526917853970,0.000,0.000,0.000,0,0,0,WaitPose
1757526917955236,0.000,0.000,0.000,0,0,0,WaitPose
1757526918056234,0.000,0.000,0.000,0,0,0,WaitPose
1757526918157087,0.000,0.000,0.000,0,0,0,WaitPose
1757526918258105,0.000,0.000,0.000,0,0,0,WaitPose
1757526918358923,0.000,0.000,0.000,0,0,0,WaitPose
1757526918459826,0.000,0.000,0.000,0,0,0,WaitPose
1757526918560706,0.000,0.000,0.000,0,0,0,WaitPose
1757526918661504,0.000,0.000,0.000,0,0,0,WaitPose
1757526918762323,0.000,0.000,0.000,0,0,0,WaitPose
1757526918863200,0.000,0.000,0.000,0,0,0,WaitPose
1757526918964089,0.000,0.000,0.000,0,0,0,WaitPose
1757526919066824,0.000,0.000,0.000,0,0,0,WaitPose
1757526919167732,0.000,0.000,0.000,0,0,0,WaitPose
1757526919268650,0.000,0.000,0.000,0,0,0,WaitPose
1757526919369511,0.000,0.000,0.000,0,0,0,WaitPose
1757526919470720,0.000,0.000,0.000,0,0,0,WaitPose
1757526919571765,0.000,0.000,0.000,0,0,0,WaitPose
1757526919673435,0.000,0.000,0.000,0,0,0,WaitPose
1757526919774348,0.000,0.000,0.000,0,0,0,WaitPose
1757526919875676,0.000,0.000,0.000,0,0,0,WaitPose
1757526919976839,0.000,0.000,0.000,0,0,0,WaitPose
1757526920077811,0.000,0.000,0.000,0,0,0,WaitPose
1757526920178692,0.000,0.000,0.000,0,0,0,WaitPose
1757526920279832,0.000,0.000,0.000,0,0,0,WaitPose
1757526920380587,0.000,0.000,0.000,0,0,0,WaitPose
1757526920481830,0.000,0.000,0.000,0,0,0,WaitPose
1757526920583833,0.000,0.000,0.000,0,0,0,WaitPose
1757526920684550,0.000,0.000,0.000,0,0,0,WaitPose
1757526920785323,0.000,0.000,0.000,0,0,0,WaitPose
1757526920886339,0.000,0.000,0.000,0,0,0,WaitPose
1757526920987128,0.000,0.000,0.000,0,0,0,WaitPose
1757526921088052,0.000,0.000,0.000,0,0,0,WaitPose
1757526921189300,0.000,0.000,0.000,0,0,0,WaitPose
1757526921290252,0.000,0.000,0.000,0,0,0,WaitPose
1757526921391114,0.000,0.000,0.000,0,0,0,WaitPose
1757526921492250,0.000,0.000,0.000,0,0,0,WaitPose
1757526921593022,0.000,0.000,0.000,0,0,0,WaitPose
1757526921693867,0.000,0.000,0.000,0,0,0,WaitPose
1757526921794689,0.000,0.000,0.000,0,0,0,WaitPose
1757526921895414,0.000,0.000,0.000,0,0,0,WaitPose
1757526921996257,0.000,0.000,0.000,0,0,0,WaitPose
1757526922097720,0.000,0.000,0.000,0,0,0,WaitPose
1757526922198524,0.000,0.000,0.000,0,0,0,WaitPose
